Record ID,Sort Year,Date / Period,Category,Tradition / Culture,Modern Country / Region,Being / Motif,Original Description,Source Type,Earliest Traceable Source / Event,Later Grey / Reptilian Connection,Connection Type,Possible Transmission / Influence,Evidence Level,Research Status,Primary Source URL,Secondary / Context URL,Notes,Event_Date,Publication_Date,Broadcast_Date,Contamination_Flag,Publisher_Carrier
GREY-009-CORR,1901,1901,Science fiction,British,United Kingdom,Selenites,"Underground lunar society; insect-like beings without nose or ears; dull bulging eyes positioned laterally at sides of head; highly specialized and variable bodies adapted to dark cold; not large black wraparound eyes",Published novel,H.G. Wells The First Men in the Moon 1901,Literary comparison candidate for small humanoid - lateral bulging eyes distinct from later Grey template,Visual comparison only - direct ancestry not established,Pulp reservoir for later artists but description differs from Grey standard,A: publication exists; primary text correction applied,Corrected per Gutenberg 1013.txt - ready for artifact candidate review,https://www.gutenberg.org/ebooks/1013.txt.utf-8,https://en.wikipedia.org/wiki/The_First_Men_in_the_Moon,"Correction: prior draft said large black eyes - primary says dull bulging lateral eyes. Keep as literary artifact not direct ancestor.",1901,1901,,No primary Grey ancestry - morphological mismatch noted,George Newnes
GREY-010,1964,1964-02-10,Television episode hypothesis,American,United States,Outer Limits Bellero Shield alien - contamination hypothesis,"Creature with wraparound eyes, large head - morphological comparison proposed as influence source",Television episode,The Outer Limits S1E20 The Bellero Shield aired 1964-02-10,Proposed contamination source for Barney Hill - requires exposure proof,Contamination hypothesis - air date alone not proof,Skeptical literature flags 12-day interval before Barney first hypnosis but exposure unproven,A: broadcast exists; contamination unproven,Hypothesis preserved - needs UNH archive acquisition,https://en.wikipedia.org/wiki/The_Bellero_Shield,https://www.imdb.com/title/tt0667848,"Test not conclusion. Need UNH Hill papers: earliest pre-hypnosis statements, hypnosis dates transcripts, question wording, proof of TV exposure, dated sketches.",1964-02-10,1964-02-10,1964-02-10,Potential media contamination hypothesis - unverified exposure,ABC Network
INTERP-001-FISH,1969,1969-1973,Researcher interpretation,American,United States,Zeta Reticuli interpretation,"Marjorie Fish three-dimensional model interpreting Betty Hill star sketch as Zeta Reticuli binary system",Amateur astronomy model and correspondence,Marjorie Fish model and correspondence 1969-1973,Interpretation assigned Zeta Reticuli as Grey home - not in original Hill testimony,Later researcher interpretation,Not part of 1961 event record - must be separate,B: interpretation history documented; event date separation required,Requires UNH archive separation - Fish correspondence,https://library.unh.edu/find/archives/collections/betty-barney-hill-papers-1961-2006,https://en.wikipedia.org/wiki/Barney_and_Betty_Hill_incident,Becomes interpretation record not event record per QC 4.3,1961-09-19 original event vs 1969 interpretation,1969-first presentation,,"No contamination - interpretation history",Various UFO journals
GREY-012,1982,1982,Film media artifact,American,United States,E.T. - child-friendly small bald large-eyed,Child-friendly small bald large-eyed friendly alien - benign variant,Feature film,E.T. the Extra-Terrestrial Spielberg 1982,Authentic mass media - Grey-adjacent is interpretive label,Mass-media artifact - benign normalization,Extended small large-eyed alien to family audiences,A: film exists,Low priority media artifact per QC - useful only in visual comparison cluster,https://en.wikipedia.org/wiki/E.T._the_Extra-Terrestrial,https://www.imdb.com/title/tt0083866,,"1982-06-11 release",1982-06-11,1982-06-11,,Universal Pictures
GREY-013A,1993,1993-09-10,Television franchise premiere,American,United States,X-Files franchise carrier,Premiere of The X-Files television franchise,Television series premiere,Fox The X-Files S1E01 pilot Sep 10 1993,X-Files as long-term carrier of Grey conspiracy imagery,Franchise carrier,Global syndication carrier for later mythology,A: broadcast exists,Carrier record only - split required per QC 4.5,https://en.wikipedia.org/wiki/The_X-Files,https://en.wikipedia.org/wiki/The_X-Files_season_1,Premiere cannot date later mythology,1993-09-10,1993-09-10,1993-09-10,,Fox Network
REPT-006-ACQ,1940,1940s estimated,Occult pamphlet acquisition target,American,United States,Doreal serpent race acquisition target,"Exact passage: bodies like man but heads like great snake; ability to take human form - requires exact edition page scan",Pamphlet and poem - multiple objects,Mysteries of the Gobi pamphlet + Emerald Tablets poem by Maurice Doreal (Claude Doggins) - date edition uncertain,Potential bridge Howard->Doreal->Icke per Barkun likelihood statement - requires page comparison,Acquisition target - copying edge unverified,Several uncertain objects conflated in prior row - requires separate artifact records,A: existence claimed - primary scans missing,High priority item acquisition - needs exact titles editions dates passages,https://en.wikipedia.org/wiki/Reptilian_conspiracy_theory,https://www.worldcat.org/search?q=Maurice+Doreal+Mysteries+of+the+Gobi,Needs primary scans and page-cited Howard/Icke comparison before edge promotion,c.1940-1946 estimated,c.1940s,,Uncertain dating - requires archival verification,Occult presses - Doreal
REPT-007,1983,1983-05-01,Television miniseries media artifact,American,United States,V Visitors - reptilian disguised as human,"Reptilian aliens with human-like skin disguise; face-peel reveals green scales; infiltrate elite",Miniseries,NBC V miniseries May 1-2 1983,Authentic media - reptilian hidden among humans visual trope,Media artifact - influence on conspiracy writers open,Iconic face-peel scene in popular imagination,A: broadcast exists,Media artifact valid - later influence requires direct citation ownership interview reuse,https://en.wikipedia.org/wiki/V_(1983_miniseries),https://en.wikipedia.org/wiki/V_(1983_miniseries)#Reception,NBC embedding before Icke - does not prove causation,,1983-05-01,1983-05-01,No assumed influence, NBC
GREY-014A,1975,1975-11-05,Abduction claim - event record,American,United States,Travis Walton initial claim 1975,"Earliest witness description before book - November 5 1975 Snowflake Arizona - multiple beings aboard craft - obtain original interview wording",Witness statement and sheriff/polygraph records,Travis Walton alleged abduction Nov 5 1975 - initial press and investigative records,Part of abduction corpus - description before film dramatization,Event record - earliest wording needed,Original description required before applying Grey terminology,A: claim timeline exists; D: encounter claim,Split required per QC - this is event portion,https://en.wikipedia.org/wiki/Travis_Walton_UFO_incident,https://history.com/news/travis-walton-ufo-story,Separate 1975 event from later book and film,1975-11-05,1975-11-05,,Contamination flag open - post-publication feedback possible,Initial press
GREY-014B,1978,1978,Book publication - interpretation record,American,United States,Travis Walton Fire in the Sky book 1978,Book publication of account - first public book wording,Book,Travis Walton The Walton Experience / Fire in the Sky 1978,Book spread surgical examination Grey narrative,Publication record - first book wording,Bookstore distribution amplified terror framing,A: publication exists,Split - this is book portion,https://en.wikipedia.org/wiki/Travis_Walton_UFO_incident,https://en.wikipedia.org/wiki/Fire_in_the_Sky_(book),Separate book from event - wording may differ from initial,1975-11-05,1978,,Post-event publication,,,
MIX-004A,1947,1947-07-08,UFO history - debris press record,American,United States / New Mexico,Roswell debris - 1947 only,"Roswell Army Air Field press release: recovered debris; no alien bodies in initial reports",Military statements and newspapers,Roswell incident initial July 1947 reports,Debris only baseline - later additions separate,Atomic record - debris only,A: event and report history; debris reports,Verified pre-body baseline,https://en.wikipedia.org/wiki/Roswell_incident,https://www.af.mil/The-Roswell-Report/,Start of multi-source chronology cluster - not fusion yet,1947-07-08,1947-07-08,,,
