Record ID,Sort Year,Date / Period,Category,Tradition / Culture,Modern Country / Region,Being / Motif,Original Description,Source Type,Earliest Traceable Source / Event,Later Grey / Reptilian Connection,Connection Type,Possible Transmission / Influence,Evidence Level,Research Status,Primary Source URL,Secondary / Context URL,Notes
SERP-001,-2100,c. 2100 BCE,Ancient mythology,Sumerian / Mesopotamian,Iraq / Mesopotamia,Ningishzida,"Deity associated with vegetation, the underworld, and serpents; later iconography includes intertwined snakes.",Religious texts and archaeology,Sumerian literary and visual traditions,Sometimes retrofitted online as a reptilian or ancient-alien figure.,Modern reinterpretation,"Mesopotamian religion influenced later regional traditions, but alien framing is modern.",A: documented mythology,Seeded — verify primary translations,https://en.wikipedia.org/wiki/Ningishzida,https://www.worldhistory.org/Ningishzida/,Do not equate serpent symbolism with a biological reptilian species.
SERP-002,-2000,c. 2000 BCE and later,Ancient mythology,Ancient Egyptian,Egypt / North Africa,Apep / Apophis,Gigantic serpent representing chaos and opposition to the solar order.,Religious funerary texts,Middle Kingdom and later Egyptian texts,Occasionally reframed as a hostile reptilian entity.,Modern reinterpretation,Serpent-as-chaos is a broad symbolic motif; no original extraterrestrial claim.,A: documented mythology,Seeded — verify textual dates,https://en.wikipedia.org/wiki/Apep,https://www.britannica.com/topic/Apopis-Egyptian-god,Important comparison case for guardian/serpent/underworld vocabulary.
SERP-003,-1200,c. 1200 BCE,Ancient mythology,Early Chinese,China / East Asia,Dragon / long,"Powerful composite serpent-like being associated with rain, rulership, water, and cosmic order.",Oracle-bone imagery and later texts,Shang-period and later traditions,Sometimes grouped with reptilian beings despite very different original meanings.,Modern reinterpretation,Independent dragon traditions may also reflect cultural exchange and shared human symbolism.,A: documented mythology,Seeded — expand with Chinese sources,https://en.wikipedia.org/wiki/Chinese_dragon,https://www.britannica.com/topic/Chinese-dragon,Use original terms and regional variants rather than collapsing everything into 'reptilian.'
SERP-004,-800,1st millennium BCE onward,Ancient mythology,"Hindu, Buddhist, Jain",India and South / Southeast Asia,Nāga,"Divine or semi-divine serpent beings, often linked to water, protection, subterranean realms, and transformation.","Religious epics, sutras, art, ritual",Early Indian textual traditions; dating varies by text,Frequently reinterpreted in ancient-alien literature as reptilian humanoids.,Modern reinterpretation,"Spread through religion, trade, and cultural transmission across Asia.",A: documented mythology,Seeded — split by text and region,https://en.wikipedia.org/wiki/N%C4%81ga,https://www.britannica.com/topic/naga-Hindu-mythology,A major motif family; should become many separate records.
SERP-005,1,Ancient; oral chronology uncertain,Oral tradition,Aboriginal Australian traditions,Australia,Rainbow Serpent,"Powerful creator and landscape-forming serpent associated with water, fertility, law, and ancestral time.","Oral history, rock art, ethnography",Multiple regional traditions; no single origin date,Sometimes included in global reptilian comparisons.,Comparative motif,Potentially independent serpent symbolism; dating and regional differences require care.,A: documented tradition; date uncertain,Seeded — regional decomposition needed,https://en.wikipedia.org/wiki/Rainbow_Serpent,https://www.nma.gov.au/defining-moments/resources/rainbow-serpent,Do not assign a false single date to living oral traditions.
SERP-006,500,c. 1st millennium CE,Ancient mythology,Mesoamerican,Mexico / Central America,Quetzalcoatl / Feathered Serpent,"Feathered-serpent deity linked to wind, learning, rulership, priesthood, and creation in different traditions.","Archaeology, codices, colonial-era records","Teotihuacan, Toltec, and Aztec traditions",Commonly reframed as an extraterrestrial teacher or reptilian figure.,Modern reinterpretation,Mesoamerican traditions interacted regionally; modern alien readings are much later.,A: documented mythology,Seeded — separate cultures and periods,https://en.wikipedia.org/wiki/Quetzalcoatl,https://www.britannica.com/topic/Quetzalcoatl,Avoid treating all Feathered Serpent traditions as identical.
REPT-001,1888,1888,Occult / esoteric literature,Theosophy,United Kingdom / transnational,Dragon-men / lost races,"Theosophical cosmology blended lost continents, root races, occult evolution, and dragon imagery.",Published esoteric book,"Helena Blavatsky, The Secret Doctrine",Later reptilian-conspiracy writers drew on Theosophical lost-world concepts.,Documented literary influence,"Influenced pulp fiction, occult writers, and later alternative-history narratives.",A: publication exists; claims unverified,Seeded — locate exact passages,https://en.wikipedia.org/wiki/The_Secret_Doctrine,https://archive.org/details/secretdoctrine01blav,Track exact wording rather than relying on later quotations.
GREY-001,1893,1893,Speculative literature,British science writing,United Kingdom,Future enlarged-headed human,H. G. Wells imagined future humans with enlarged heads and reduced bodies or facial features.,Published essay,The Man of the Year Million,Retrospectively resembles later Grey imagery.,Visual / conceptual precursor,"Possible cultural influence, not an encounter report.",A: publication exists,Seeded — obtain primary text,https://en.wikisource.org/wiki/The_Man_of_the_Year_Million,https://en.wikipedia.org/wiki/Grey_alien,A precursor; not proof of Greys.
GREY-002,1897,1897,Science fiction,British,United Kingdom,Martians in The War of the Worlds,"Hairless beings with large heads and large dark eyes, biologically specialized for intelligence.",Published novel,"H. G. Wells, The War of the Worlds",Often cited as an early visual ancestor of the Grey alien.,Documented fictional precursor,Widely distributed fiction could influence later imagery.,A: publication exists,Seeded,https://www.gutenberg.org/ebooks/36,https://en.wikipedia.org/wiki/Grey_alien,Separate descriptive similarity from direct influence.
GREY-003,1919,1919 portrait; claims tied to 1918–1919 workings,Occult / esoteric,Thelemic occultism,United States / United Kingdom,Lam,"A bald, large-headed entity in a portrait by Aleister Crowley.",Artwork and occult writings,Crowley's Lam portrait,Later occultists and ufologists retroactively linked Lam to Greys.,Retrospective reinterpretation,No evidence that the portrait documented an extraterrestrial being.,A: artwork exists; D: entity claim,Seeded — verify provenance,https://en.wikipedia.org/wiki/Lam_(entity),https://en.wikipedia.org/wiki/Grey_alien,The exact date and context should be checked against archival material.
REPT-002,1929,1929,Pulp fiction,American weird fiction,United States,Serpent Men,"Underground serpent-headed humanoids who disguise themselves as humans and infiltrate society.",Published short story,"Robert E. Howard, The Shadow Kingdom",A direct literary precursor to modern shape-shifting reptilian infiltration narratives.,Strong documented motif precursor,Influenced later weird fiction and occult-conspiracy synthesis.,A: publication exists,Seeded — obtain primary text,https://en.wikipedia.org/wiki/The_Shadow_Kingdom,https://en.wikipedia.org/wiki/Reptilian_conspiracy_theory,One of the clearest pre-UFO examples of the modern infiltration motif.
